item_id,index,value,word1,word2,pos,simlex,concwordone,concwordtwo,concq,assocusf,stim,simasoc,time,subject,list,lancmotorsim,lancsensorysim,lancsensorymotorsim,glovesim,attentioncheck,attention_accuracy
250,4,2,rat,mouse,N,7.78,4.85,4.83,4,0.87,rat,1,1708975653443,t2k8l8ho,List 8,0.168,0.014,0.058,0.473,0,-1
251,1,4,motor,engine,N,8.65,4.84,4.86,4,0.87,motor,1,1708975605146,t2k8l8ho,List 8,0.044,0.002,0.02,0.552,0,-1
261,0,6,house,key,N,1.9,5,4.89,4,0.8,house,1,1708975618702,t2k8l8ho,List 8,0.406,0.08,0.223,0.712,0,-1
264,2,0,god,spirit,N,7.3,2.07,1.6,1,0.77,god,1,1708975666114,t2k8l8ho,List 8,0.013,0.051,0.034,0.532,0,-1
268,0,2,wall,brick,N,4.68,4.86,4.83,4,0.77,wall,1,1708975664731,t2k8l8ho,List 8,0.157,0.007,0.048,0.588,0,-1
278,6,0,rain,mist,N,5.97,4.97,4.51,4,0.71,rain,1,1708975648581,t2k8l8ho,List 8,0.024,0.083,0.069,0.611,0,-1
301,2,5,boat,car,N,2.37,4.93,4.89,4,0.61,boat,1,1708975620052,t2k8l8ho,List 8,0.009,0.019,0.024,0.607,0,-1
304,1,1,heroine,hero,N,8.78,4.21,3.07,2,0.56,heroine,1,1708975678172,t2k8l8ho,List 8,0.046,0.1,0.08,0.479,0,-1
316,6,2,foot,head,N,2.3,4.9,4.75,4,0.52,foot,1,1708975601091,t2k8l8ho,List 8,0.868,0.007,0.408,0.672,0,-1
319,2,6,alcohol,whiskey,N,7.27,4.76,4.74,4,0.51,alcohol,1,1708975598073,t2k8l8ho,List 8,0.021,0.006,0.013,0.601,0,-1
324,2,3,meat,bacon,N,5.8,4.9,4.9,4,0.5,meat,1,1708975659915,t2k8l8ho,List 8,0.003,0.012,0.011,0.6,0,-1
326,3,4,worker,employer,N,5.37,4.59,3.81,3,0.49,worker,1,1708975598807,t2k8l8ho,List 8,0.069,0.004,0.099,0.483,0,-1
327,3,1,body,chest,N,4.45,4.79,4.93,4,0.49,body,1,1708975673581,t2k8l8ho,List 8,0.176,0.11,0.147,0.573,0,-1
328,5,2,son,father,N,3.82,4.14,4.52,3,0.48,son,1,1708975674576,t2k8l8ho,List 8,0.048,0.001,0.081,0.144,0,-1
329,7,1,heart,surgery,N,1.08,4.52,4.34,3,0.48,heart,1,1708975675977,t2k8l8ho,List 8,0.334,0.12,0.276,0.454,0,-1
340,5,5,ceiling,cathedral,N,2.42,4.85,4.86,4,0.46,ceiling,1,1708975654101,t2k8l8ho,List 8,0.011,0.046,0.037,0.714,0,-1
346,7,1,lover,companion,N,5.97,3.68,3.75,3,0.42,lover,0,1708975649322,t2k8l8ho,List 8,0.022,0.029,0.039,0.472,0,-1
370,0,5,cloud,weather,N,4.87,4.54,3.83,3,0.4,cloud,0,1708975604153,t2k8l8ho,List 8,0.114,0.27,0.226,0.678,0,-1
371,1,1,physician,doctor,N,8.88,4.65,4.69,3,0.4,physician,0,1708975612227,t2k8l8ho,List 8,0.005,0.032,0.018,0.296,0,-1
372,0,2,canyon,valley,N,6.75,4.81,4.72,4,0.4,canyon,0,1708975631102,t2k8l8ho,List 8,0.144,0.037,0.1,0.496,0,-1
386,0,4,corporation,business,N,9.02,2.79,3.28,2,0.35,corporation,0,1708975656710,t2k8l8ho,List 8,0.026,0.021,0.041,0.62,0,-1
389,0,1,bone,ankle,N,3.82,4.9,4.81,4,0.35,bone,0,1708975637302,t2k8l8ho,List 8,0.47,0.027,0.269,0.58,0,-1
399,2,1,anarchy,chaos,N,7.93,2.12,2.79,1,0.33,anarchy,0,1708975678755,t2k8l8ho,List 8,0.007,0.007,0.024,0.299,0,-1
421,7,4,crowd,bunch,N,7.42,4.52,3.5,3,0.3,crowd,0,1708975601711,t2k8l8ho,List 8,0.133,0.104,0.111,0.718,0,-1
435,6,5,teacher,helper,N,4.28,4.52,3.39,3,0.28,teacher,0,1708975615727,t2k8l8ho,List 8,0.03,0.017,0.084,0.805,0,-1
438,4,0,house,carpet,N,1.38,5,4.96,4,0.28,house,0,1708975639802,t2k8l8ho,List 8,0.119,0.136,0.14,0.838,0,-1
461,4,5,sugar,honey,N,5.13,4.87,4.88,4,0.26,sugar,0,1708975661222,t2k8l8ho,List 8,0.007,0.034,0.026,0.493,0,-1
471,1,4,arm,knee,N,2.75,4.96,5,4,0.24,arm,0,1708975619390,t2k8l8ho,List 8,0.707,0.012,0.279,0.632,0,-1
493,5,2,oil,mink,N,1.23,4.93,4.58,4,0.21,oil,0,1708975661956,t2k8l8ho,List 8,0.064,0.114,0.119,0.992,0,-1
533,2,4,body,spine,N,4.78,4.79,4.88,4,0.19,body,0,1708975626607,t2k8l8ho,List 8,0.24,0.083,0.168,0.704,0,-1
550,6,5,brow,eye,N,3.82,4.39,4.9,3,0.16,brow,0,1708975681584,t2k8l8ho,List 8,0.037,0.019,0.053,0.766,0,-1
557,3,4,car,bridge,N,0.95,4.89,4.97,4,0.16,car,0,1708975627085,t2k8l8ho,List 8,0.05,0.147,0.111,0.75,0,-1
573,3,5,idea,scheme,N,6.75,1.61,2.41,1,0.14,idea,0,1708975652597,t2k8l8ho,List 8,0.027,0.13,0.082,0.65,0,-1
576,5,6,despair,misery,N,7.22,2.21,2.04,1,0.14,despair,0,1708975615090,t2k8l8ho,List 8,0.024,0.037,0.042,0.382,0,-1
578,7,5,denial,confession,N,1.03,2.46,2.4,1,0.14,denial,0,1708975655426,t2k8l8ho,List 8,0.103,0.082,0.099,0.641,0,-1
579,0,4,argument,criticism,N,5.08,2.85,2.07,1,0.14,argument,0,1708975643106,t2k8l8ho,List 8,0.038,0.012,0.035,0.619,0,-1
581,5,5,hysteria,confusion,N,6.33,2.86,2.24,1,0.14,hysteria,0,1708975647756,t2k8l8ho,List 8,0.013,0.119,0.088,0.623,0,-1
607,7,5,cousin,uncle,N,4.63,3.7,4.24,3,0.14,cousin,0,1708975610077,t2k8l8ho,List 8,0.018,0.003,0.009,0.276,0,-1
619,4,5,article,journal,N,6.18,4.33,4.63,3,0.14,article,0,1708975621806,t2k8l8ho,List 8,0.081,0.067,0.074,0.467,0,-1
640,7,1,car,hose,N,0.87,4.89,4.87,4,0.14,car,0,1708975682134,t2k8l8ho,List 8,0.194,0.101,0.148,0.843,0,-1
646,2,5,box,cigar,N,1.25,4.9,4.93,4,0.14,box,0,1708975672864,t2k8l8ho,List 8,0.231,0.377,0.336,0.762,0,-1
671,7,5,clothes,jacket,N,5.15,4.76,4.86,4,0.13,clothes,0,1708975663139,t2k8l8ho,List 8,0.118,0.035,0.081,0.521,0,-1
673,4,2,tin,metal,N,5.63,4.87,4.87,4,0.13,tin,0,1708975679898,t2k8l8ho,List 8,0.018,0.022,0.021,0.575,0,-1
676,1,1,meat,bread,N,1.67,4.9,4.92,4,0.13,meat,0,1708975643827,t2k8l8ho,List 8,0.023,0.004,0.015,0.464,0,-1
678,6,2,neck,spine,N,5.32,5,4.88,4,0.13,neck,0,1708975654748,t2k8l8ho,List 8,0.477,0.02,0.187,0.471,0,-1
682,1,1,night,dawn,N,2.95,4.52,4.46,3,0.12,night,0,1708975597207,t2k8l8ho,List 8,0.014,0.085,0.053,0.501,0,-1
684,7,4,calf,bull,N,4.93,4.48,4.85,3,0.12,calf,0,1708975629582,t2k8l8ho,List 8,0.196,0.047,0.089,0.678,0,-1
704,5,4,attention,awareness,N,8.73,2.3,1.84,1,0.1,attention,0,1708975628573,t2k8l8ho,List 8,0.043,0.096,0.082,0.586,0,-1
720,0,6,hymn,conquest,N,0.68,4.04,2.54,2,0,hymn,0,1708975677472,t2k8l8ho,List 8,0.251,0.333,0.3,0.918,0,-1
726,3,1,doctor,temper,N,0.48,4.69,2.56,2,0,doctor,0,1708975645643,t2k8l8ho,List 8,0.06,0.169,0.128,1.002,0,-1
738,5,6,pollution,president,N,0.68,3.75,4.4,3,0,pollution,0,1708975634318,t2k8l8ho,List 8,0.002,0.266,0.141,0.968,0,-1
741,1,6,diet,apple,N,1.18,3.21,5,3,0,diet,0,1708975625906,t2k8l8ho,List 8,0.151,0.071,0.192,0.852,0,-1
746,7,5,dentist,colonel,N,0.4,4.93,3.89,3,0,dentist,0,1708975669193,t2k8l8ho,List 8,0.123,0.098,0.108,0.838,0,-1
765,5,2,people,gun,N,0.68,4.82,4.83,4,0,people,0,1708975680859,t2k8l8ho,List 8,0.188,0.034,0.107,0.786,0,-1
782,5,5,occur,happen,V,9.32,1.84,1.78,1,2.87,occur,1,1708975600433,t2k8l8ho,List 8,0.115,0.071,0.113,0.406,0,-1
786,1,4,begin,originate,V,8.2,2.56,2.23,1,2.44,begin,1,1708975665481,t2k8l8ho,List 8,0.085,0.023,0.123,0.919,0,-1
797,2,1,achieve,accomplish,V,8.57,2.29,2.33,1,1.22,achieve,1,1708975632289,t2k8l8ho,List 8,0.028,0.079,0.051,0.324,0,-1
834,2,6,arrive,come,V,7.05,3.22,2.72,2,0.48,arrive,1,1708975644666,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,0,-1
838,0,5,add,divide,V,2.3,3,2.86,2,0.41,add,0,1708975670680,t2k8l8ho,List 8,0.02,0.135,0.066,0.714,0,-1
840,0,5,acquire,get,V,8.82,2.93,2.38,2,0.39,acquire,0,1708975596174,t2k8l8ho,List 8,0.009,0.03,0.02,0.714,0,-1
852,4,1,analyze,evaluate,V,8.03,2.3,1.85,1,0.28,analyze,0,1708975607653,t2k8l8ho,List 8,0.037,0.069,0.07,0.244,0,-1
874,7,5,pretend,imagine,V,8.47,2.11,1.53,1,0.21,pretend,0,1708975624104,t2k8l8ho,List 8,0.09,0.145,0.127,0.476,0,-1
878,1,4,overcome,dominate,V,6.25,2.28,2.12,1,0.21,overcome,0,1708975651394,t2k8l8ho,List 8,0.022,0.048,0.032,0.774,0,-1
879,2,5,behave,obey,V,7.3,1.78,2.67,1,0.21,behave,0,1708975638603,t2k8l8ho,List 8,0.013,0.042,0.03,0.64,0,-1
884,2,6,say,participate,V,3.82,2.58,2.59,1,0.21,say,0,1708975651943,t2k8l8ho,List 8,0.259,0.203,0.248,0.677,0,-1
885,2,6,come,bring,V,2.42,2.72,2.55,2,0.21,come,0,1708975613115,t2k8l8ho,List 8,0.049,0.116,0.089,0.284,0,-1
901,3,5,make,become,V,4.77,2.67,1.54,1,0.17,make,0,1708975632985,t2k8l8ho,List 8,0.238,0.158,0.195,0.433,0,-1
902,0,2,discover,originate,V,4.83,2.37,2.23,1,0.17,discover,0,1708975625394,t2k8l8ho,List 8,0.038,0.124,0.139,0.92,0,-1
907,4,4,borrow,sell,V,1.73,3.1,3.35,2,0.17,borrow,0,1708975667405,t2k8l8ho,List 8,0.066,0.068,0.075,0.491,0,-1
911,6,2,agree,please,V,4.13,2.31,1.64,1,0.14,agree,0,1708975609486,t2k8l8ho,List 8,0.014,0.012,0.014,0.713,0,-1
926,7,6,investigate,examine,V,8.1,2.27,2.86,1,0.14,investigate,0,1708975635782,t2k8l8ho,List 8,0.028,0.039,0.037,0.318,0,-1
928,2,6,owe,lend,V,2.32,2.07,3.07,1,0.14,owe,0,1708975606002,t2k8l8ho,List 8,0.079,0.2,0.138,0.643,0,-1
935,4,5,reduce,shrink,V,8.02,2,3.55,2,0.14,reduce,0,1708975627835,t2k8l8ho,List 8,0.112,0.04,0.073,0.587,0,-1
946,1,2,contemplate,think,V,8.82,1.71,2.41,1,0.11,contemplate,0,1708975672264,t2k8l8ho,List 8,0.028,0.035,0.042,0.743,0,-1
956,3,2,leave,ignore,V,4.42,2.53,2.22,1,0.11,leave,0,1708975666565,t2k8l8ho,List 8,0.344,0.031,0.222,0.609,0,-1
970,3,4,join,add,V,8.1,2.86,3,2,0.11,join,0,1708975621281,t2k8l8ho,List 8,0.061,0.029,0.051,0.807,0,-1
2034,4,1,please,please,C,4.13,2.31,1.64,1,0.14,please/please,0,1708975614436,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,1,0
2187,4,2,weird,weird,C,9.2,1.59,1.7,1,0.75,weird/weird,1,1708975646573,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,1,0
2975,5,5,jacket,jacket,C,5.15,4.76,4.86,4,0.13,jacket/jacket,0,1708975640756,t2k8l8ho,List 8,0.013,0.023,0.053,0.477,1,0
4653,1,5,force,check,C,1000,0,0,0,0,3,0,1708975657228,t2k8l8ho,List 8,0,0,0,0,2,0
5928,4,5,force,check,C,1000,0,0,0,0,2,0,1708975674084,t2k8l8ho,List 8,0,0,0,0,2,0
13,6,4,easy,difficult,A,0.58,2.07,2.21,1,2.83,easy,1,1708975623069,t2k8l8ho,List 8,0.028,0.027,0.099,0.376,0,-1
20,5,4,hard,tough,A,8.05,3.76,2.5,2,1.99,hard,1,1708975622365,t2k8l8ho,List 8,0.033,0.031,0.033,0.342,0,-1
35,0,4,weird,odd,A,9.2,1.59,1.7,1,0.75,weird,1,1708975611765,t2k8l8ho,List 8,0.028,0.039,0.036,0.385,0,-1
44,1,5,nice,cruel,A,0.67,2.18,2.11,1,0.49,nice,1,1708975631772,t2k8l8ho,List 8,0.037,0.042,0.043,0.837,0,-1
51,6,2,bad,great,A,0.35,1.68,1.81,1,0.35,bad,0,1708975662547,t2k8l8ho,List 8,0.01,0.025,0.027,0.651,0,-1
58,4,1,easy,flexible,A,4.1,2.07,2.64,1,0.27,easy,0,1708975599657,t2k8l8ho,List 8,0.292,0.116,0.21,0.667,0,-1
67,3,4,friendly,generous,A,5.9,2.32,2.25,1,0.21,friendly,0,1708975679245,t2k8l8ho,List 8,0.022,0.076,0.058,0.708,0,-1
71,3,4,rough,frigid,A,2.47,3.83,3.28,2,0.21,rough,0,1708975606682,t2k8l8ho,List 8,0.051,0.126,0.082,0.716,0,-1
83,7,2,modest,ashamed,A,2.65,2.21,1.74,1,0.14,modest,0,1708975617248,t2k8l8ho,List 8,0.055,0.22,0.168,1.027,0,-1
94,3,5,sick,crazy,A,3.57,2.97,2.37,2,0.14,sick,0,1708975660656,t2k8l8ho,List 8,0.229,0.089,0.18,0.653,0,-1
110,5,6,large,flexible,A,0.48,3.37,2.64,2,0,large,0,1708975608841,t2k8l8ho,List 8,0.193,0.04,0.121,0.749,0,-1
121,0,5,friend,buddy,N,8.78,3.07,3.48,2,6.87,friend,1,1708975650681,t2k8l8ho,List 8,0.007,0.038,0.076,0.532,0,-1
136,6,1,navy,army,N,6.43,3.93,4.7,3,5,navy,1,1708975635102,t2k8l8ho,List 8,0.03,0.017,0.043,0.49,0,-1
137,6,5,book,literature,N,7.53,4.9,4.1,3,4.86,book,1,1708975629131,t2k8l8ho,List 8,0.066,0.087,0.078,0.479,0,-1
139,4,2,sunset,sunrise,N,2.47,4.54,4.69,3,4.8,sunset,1,1708975633602,t2k8l8ho,List 8,0.001,0.031,0.032,0.323,0,-1
179,1,5,street,alley,N,5.48,4.75,4.82,4,2.07,street,1,1708975637803,t2k8l8ho,List 8,0.015,0.067,0.047,0.634,0,-1
216,3,5,hose,garden,N,1.67,4.87,4.73,4,1.32,hose,1,1708975613690,t2k8l8ho,List 8,0.154,0.134,0.153,0.737,0,-1
222,6,6,school,grade,N,4.42,4.79,3,3,1.18,school,1,1708975641327,t2k8l8ho,List 8,0.185,0.02,0.118,0.475,0,-1
223,7,1,parent,adult,N,5.37,4.56,4.4,3,1.15,parent,1,1708975641860,t2k8l8ho,List 8,0.012,0.077,0.055,0.613,0,-1
229,6,2,metal,aluminum,N,7.25,4.87,4.88,4,1.1,metal,1,1708975668489,t2k8l8ho,List 8,0.021,0.006,0.033,0.452,0,-1
233,6,5,water,ice,N,6.47,5,4.89,4,1.03,water,1,1708975675322,t2k8l8ho,List 8,0.01,0.033,0.023,0.598,0,-1
237,3,2,business,company,N,9.02,3.28,4.11,3,0.97,business,1,1708975639218,t2k8l8ho,List 8,0.008,0.018,0.015,0.409,0,-1
241,5,2,hand,foot,N,4.17,4.72,4.9,4,0.95,hand,1,1708975668031,t2k8l8ho,List 8,0.834,0.019,0.357,0.576,0,-1
250,4,2,rat,mouse,N,7.78,4.85,4.83,4,0.87,rat,1,1708975653443,t2k8l8ho,List 8,0.168,0.014,0.058,0.473,0,-1
251,1,4,motor,engine,N,8.65,4.84,4.86,4,0.87,motor,1,1708975605146,t2k8l8ho,List 8,0.044,0.002,0.02,0.552,0,-1
261,0,6,house,key,N,1.9,5,4.89,4,0.8,house,1,1708975618702,t2k8l8ho,List 8,0.406,0.08,0.223,0.712,0,-1
264,2,0,god,spirit,N,7.3,2.07,1.6,1,0.77,god,1,1708975666114,t2k8l8ho,List 8,0.013,0.051,0.034,0.532,0,-1
268,0,2,wall,brick,N,4.68,4.86,4.83,4,0.77,wall,1,1708975664731,t2k8l8ho,List 8,0.157,0.007,0.048,0.588,0,-1
278,6,0,rain,mist,N,5.97,4.97,4.51,4,0.71,rain,1,1708975648581,t2k8l8ho,List 8,0.024,0.083,0.069,0.611,0,-1
301,2,5,boat,car,N,2.37,4.93,4.89,4,0.61,boat,1,1708975620052,t2k8l8ho,List 8,0.009,0.019,0.024,0.607,0,-1
304,1,1,heroine,hero,N,8.78,4.21,3.07,2,0.56,heroine,1,1708975678172,t2k8l8ho,List 8,0.046,0.1,0.08,0.479,0,-1
316,6,2,foot,head,N,2.3,4.9,4.75,4,0.52,foot,1,1708975601091,t2k8l8ho,List 8,0.868,0.007,0.408,0.672,0,-1
319,2,6,alcohol,whiskey,N,7.27,4.76,4.74,4,0.51,alcohol,1,1708975598073,t2k8l8ho,List 8,0.021,0.006,0.013,0.601,0,-1
324,2,3,meat,bacon,N,5.8,4.9,4.9,4,0.5,meat,1,1708975659915,t2k8l8ho,List 8,0.003,0.012,0.011,0.6,0,-1
326,3,4,worker,employer,N,5.37,4.59,3.81,3,0.49,worker,1,1708975598807,t2k8l8ho,List 8,0.069,0.004,0.099,0.483,0,-1
327,3,1,body,chest,N,4.45,4.79,4.93,4,0.49,body,1,1708975673581,t2k8l8ho,List 8,0.176,0.11,0.147,0.573,0,-1
328,5,2,son,father,N,3.82,4.14,4.52,3,0.48,son,1,1708975674576,t2k8l8ho,List 8,0.048,0.001,0.081,0.144,0,-1
329,7,1,heart,surgery,N,1.08,4.52,4.34,3,0.48,heart,1,1708975675977,t2k8l8ho,List 8,0.334,0.12,0.276,0.454,0,-1
340,5,5,ceiling,cathedral,N,2.42,4.85,4.86,4,0.46,ceiling,1,1708975654101,t2k8l8ho,List 8,0.011,0.046,0.037,0.714,0,-1
346,7,1,lover,companion,N,5.97,3.68,3.75,3,0.42,lover,0,1708975649322,t2k8l8ho,List 8,0.022,0.029,0.039,0.472,0,-1
370,0,5,cloud,weather,N,4.87,4.54,3.83,3,0.4,cloud,0,1708975604153,t2k8l8ho,List 8,0.114,0.27,0.226,0.678,0,-1
371,1,1,physician,doctor,N,8.88,4.65,4.69,3,0.4,physician,0,1708975612227,t2k8l8ho,List 8,0.005,0.032,0.018,0.296,0,-1
372,0,2,canyon,valley,N,6.75,4.81,4.72,4,0.4,canyon,0,1708975631102,t2k8l8ho,List 8,0.144,0.037,0.1,0.496,0,-1
386,0,4,corporation,business,N,9.02,2.79,3.28,2,0.35,corporation,0,1708975656710,t2k8l8ho,List 8,0.026,0.021,0.041,0.62,0,-1
389,0,1,bone,ankle,N,3.82,4.9,4.81,4,0.35,bone,0,1708975637302,t2k8l8ho,List 8,0.47,0.027,0.269,0.58,0,-1
399,2,1,anarchy,chaos,N,7.93,2.12,2.79,1,0.33,anarchy,0,1708975678755,t2k8l8ho,List 8,0.007,0.007,0.024,0.299,0,-1
421,7,4,crowd,bunch,N,7.42,4.52,3.5,3,0.3,crowd,0,1708975601711,t2k8l8ho,List 8,0.133,0.104,0.111,0.718,0,-1
435,6,5,teacher,helper,N,4.28,4.52,3.39,3,0.28,teacher,0,1708975615727,t2k8l8ho,List 8,0.03,0.017,0.084,0.805,0,-1
438,4,0,house,carpet,N,1.38,5,4.96,4,0.28,house,0,1708975639802,t2k8l8ho,List 8,0.119,0.136,0.14,0.838,0,-1
461,4,5,sugar,honey,N,5.13,4.87,4.88,4,0.26,sugar,0,1708975661222,t2k8l8ho,List 8,0.007,0.034,0.026,0.493,0,-1
471,1,4,arm,knee,N,2.75,4.96,5,4,0.24,arm,0,1708975619390,t2k8l8ho,List 8,0.707,0.012,0.279,0.632,0,-1
493,5,2,oil,mink,N,1.23,4.93,4.58,4,0.21,oil,0,1708975661956,t2k8l8ho,List 8,0.064,0.114,0.119,0.992,0,-1
533,2,4,body,spine,N,4.78,4.79,4.88,4,0.19,body,0,1708975626607,t2k8l8ho,List 8,0.24,0.083,0.168,0.704,0,-1
550,6,5,brow,eye,N,3.82,4.39,4.9,3,0.16,brow,0,1708975681584,t2k8l8ho,List 8,0.037,0.019,0.053,0.766,0,-1
557,3,4,car,bridge,N,0.95,4.89,4.97,4,0.16,car,0,1708975627085,t2k8l8ho,List 8,0.05,0.147,0.111,0.75,0,-1
573,3,5,idea,scheme,N,6.75,1.61,2.41,1,0.14,idea,0,1708975652597,t2k8l8ho,List 8,0.027,0.13,0.082,0.65,0,-1
576,5,6,despair,misery,N,7.22,2.21,2.04,1,0.14,despair,0,1708975615090,t2k8l8ho,List 8,0.024,0.037,0.042,0.382,0,-1
578,7,5,denial,confession,N,1.03,2.46,2.4,1,0.14,denial,0,1708975655426,t2k8l8ho,List 8,0.103,0.082,0.099,0.641,0,-1
579,0,4,argument,criticism,N,5.08,2.85,2.07,1,0.14,argument,0,1708975643106,t2k8l8ho,List 8,0.038,0.012,0.035,0.619,0,-1
581,5,5,hysteria,confusion,N,6.33,2.86,2.24,1,0.14,hysteria,0,1708975647756,t2k8l8ho,List 8,0.013,0.119,0.088,0.623,0,-1
607,7,5,cousin,uncle,N,4.63,3.7,4.24,3,0.14,cousin,0,1708975610077,t2k8l8ho,List 8,0.018,0.003,0.009,0.276,0,-1
619,4,5,article,journal,N,6.18,4.33,4.63,3,0.14,article,0,1708975621806,t2k8l8ho,List 8,0.081,0.067,0.074,0.467,0,-1
640,7,1,car,hose,N,0.87,4.89,4.87,4,0.14,car,0,1708975682134,t2k8l8ho,List 8,0.194,0.101,0.148,0.843,0,-1
646,2,5,box,cigar,N,1.25,4.9,4.93,4,0.14,box,0,1708975672864,t2k8l8ho,List 8,0.231,0.377,0.336,0.762,0,-1
671,7,5,clothes,jacket,N,5.15,4.76,4.86,4,0.13,clothes,0,1708975663139,t2k8l8ho,List 8,0.118,0.035,0.081,0.521,0,-1
673,4,2,tin,metal,N,5.63,4.87,4.87,4,0.13,tin,0,1708975679898,t2k8l8ho,List 8,0.018,0.022,0.021,0.575,0,-1
676,1,1,meat,bread,N,1.67,4.9,4.92,4,0.13,meat,0,1708975643827,t2k8l8ho,List 8,0.023,0.004,0.015,0.464,0,-1
678,6,2,neck,spine,N,5.32,5,4.88,4,0.13,neck,0,1708975654748,t2k8l8ho,List 8,0.477,0.02,0.187,0.471,0,-1
682,1,1,night,dawn,N,2.95,4.52,4.46,3,0.12,night,0,1708975597207,t2k8l8ho,List 8,0.014,0.085,0.053,0.501,0,-1
684,7,4,calf,bull,N,4.93,4.48,4.85,3,0.12,calf,0,1708975629582,t2k8l8ho,List 8,0.196,0.047,0.089,0.678,0,-1
704,5,4,attention,awareness,N,8.73,2.3,1.84,1,0.1,attention,0,1708975628573,t2k8l8ho,List 8,0.043,0.096,0.082,0.586,0,-1
720,0,6,hymn,conquest,N,0.68,4.04,2.54,2,0,hymn,0,1708975677472,t2k8l8ho,List 8,0.251,0.333,0.3,0.918,0,-1
726,3,1,doctor,temper,N,0.48,4.69,2.56,2,0,doctor,0,1708975645643,t2k8l8ho,List 8,0.06,0.169,0.128,1.002,0,-1
738,5,6,pollution,president,N,0.68,3.75,4.4,3,0,pollution,0,1708975634318,t2k8l8ho,List 8,0.002,0.266,0.141,0.968,0,-1
741,1,6,diet,apple,N,1.18,3.21,5,3,0,diet,0,1708975625906,t2k8l8ho,List 8,0.151,0.071,0.192,0.852,0,-1
